image_name,class_id,confidence_score,x_min,y_min,x_max,y_max
VAIPE_2000_93.jpg,42,1,1467,2437,1967,3007
VAIPE_2001_322.jpg,20,1,667,530,1237,854
VAIPE_2002_70.jpg,11,1,2904,2795,3228,3119
VAIPE_2001_868.jpg,53,1,1583,2606,1905,2930
VAIPE_2001_868.jpg,22,1,448,1103,772,1427
VAIPE_2001_678.jpg,25,1,1970,3404,2294,3546
VAIPE_2001_678.jpg,58,1,693,3188,873,3512
VAIPE_2001_174.jpg,0,1,1054,2874,1378,3268
VAIPE_2001_174.jpg,21,1,1019,1185,1191,1509
VAIPE_2001_201.jpg,13,1,1987,2919,2317,3243
VAIPE_2001_201.jpg,42,1,1956,2550,2456,3120
VAIPE_2002_288.jpg,53,1,1629,2591,1953,2913
VAIPE_2001_373.jpg,32,1,2102,2827,2426,3149
VAIPE_2001_373.jpg,25,1,680,1101,1004,1243
VAIPE_2001_650.jpg,25,1,1762,2352,1904,2676
VAIPE_2001_583.jpg,49,1,1570,1972,2102,2296
VAIPE_2001_583.jpg,86,1,576,1300,900,1568
VAIPE_2001_583.jpg,0,1,915,2066,1309,2390
VAIPE_2002_87.jpg,101,1,2399,2194,2565,2518
VAIPE_2002_87.jpg,101,1,1230,1255,1554,1421
VAIPE_2002_87.jpg,20,1,233,2015,803,2339
VAIPE_2002_432.jpg,71,1,542,2076,970,2400
VAIPE_2001_462.jpg,42,1,585,928,1155,1428
VAIPE_2001_127.jpg,88,1,543,958,867,1258
VAIPE_2002_156.jpg,42,1,2382,2498,2952,2998
VAIPE_2002_55.jpg,21,1,2370,2389,2694,2561
VAIPE_1261_15.jpg,88,1,362,350,638,650
VAIPE_1261_15.jpg,88,1,1050,1362,1350,1638
VAIPE_1261_15.jpg,88,1,1662,2350,1938,2650
VAIPE_2002_97.jpg,102,1,1223,1063,1547,1275
VAIPE_2002_97.jpg,94,1,1467,2407,1791,2625
VAIPE_1275_10.jpg,102,1,402,350,598,650
VAIPE_1275_10.jpg,102,1,1050,1402,1350,1598
VAIPE_1275_10.jpg,102,1,1650,2402,1950,2598
VAIPE_2001_549.jpg,58,1,727,1199,907,1523
VAIPE_2002_206.jpg,0,1,2832,3078,3156,3472
VAIPE_2001_232.jpg,21,1,926,1970,1098,2294
VAIPE_2001_232.jpg,42,1,490,541,990,1111
VAIPE_2001_43.jpg,20,1,578,3326,1148,3650
VAIPE_2001_43.jpg,100,1,988,596,1304,920
VAIPE_2001_43.jpg,21,1,1935,3351,2259,3523
VAIPE_2002_201.jpg,53,1,2785,2180,3109,2502
VAIPE_2002_201.jpg,66,1,1023,2275,1347,2673
VAIPE_2001_27.jpg,53,1,2222,2141,2544,2465
VAIPE_2002_311.jpg,88,1,2456,2736,2756,3060
VAIPE_2002_311.jpg,21,1,1516,914,1688,1238
VAIPE_2002_311.jpg,86,1,385,2856,653,3180
VAIPE_2002_141.jpg,25,1,835,645,977,969
VAIPE_2001_869.jpg,63,1,2166,2791,2514,3115
VAIPE_2001_869.jpg,94,1,809,1208,1027,1532
VAIPE_2001_869.jpg,49,1,707,2473,1239,2797
VAIPE_1226_15.jpg,53,1,350,351,650,649
VAIPE_1226_15.jpg,53,1,1050,1351,1350,1649
VAIPE_1226_15.jpg,53,1,1651,2350,1949,2650
VAIPE_2001_403.jpg,13,1,615,3058,945,3382
VAIPE_2002_121.jpg,88,1,1213,753,1537,1053
VAIPE_2002_121.jpg,11,1,663,2529,987,2853
VAIPE_2001_479.jpg,101,1,1783,3327,2107,3493
VAIPE_2001_479.jpg,22,1,612,384,936,708
VAIPE_2001_431.jpg,101,1,1271,2270,1437,2594
VAIPE_2001_431.jpg,101,1,1964,2623,2130,2947
VAIPE_2002_409.jpg,21,1,1432,1946,1756,2118
VAIPE_2001_634.jpg,88,1,373,3219,697,3519
