,image_name,class_id,confidence_score,x_min,y_min,x_max,y_max
0,VAIPE_P_0_0.jpg,10,0.95508,1193,1618,1697,2337
1,VAIPE_P_0_0.jpg,99,0.94727,1057,2220,1685,2678
2,VAIPE_P_0_0.jpg,10,0.93604,1608,2136,1958,2938
3,VAIPE_P_0_0.jpg,89,0.12598,1054,2226,1688,2671
4,VAIPE_P_0_0.jpg,107,0.00256,1054,2226,1688,2671
5,VAIPE_P_0_0.jpg,107,0.00228,1584,2,1902,103
6,VAIPE_P_0_0.jpg,91,0.00201,1054,2226,1688,2671
7,VAIPE_P_0_0.jpg,107,0.00131,1051,2224,1685,2665
8,VAIPE_P_0_0.jpg,90,0.0013,1049,2222,1687,2667
9,VAIPE_P_0_0.jpg,82,0.0009550800000000001,1193,1618,1697,2337
10,VAIPE_P_0_0.jpg,89,0.00094727,1057,2220,1685,2678
11,VAIPE_P_0_0.jpg,99,0.00094727,1057,2220,1685,2678
12,VAIPE_P_0_0.jpg,90,0.00094727,1057,2220,1685,2678
13,VAIPE_P_0_0.jpg,91,0.00094727,1057,2220,1685,2678
14,VAIPE_P_0_0.jpg,82,0.00093604,1608,2136,1958,2938
15,VAIPE_P_0_0.jpg,99,0.00012598,1054,2226,1688,2671
16,VAIPE_P_0_0.jpg,90,0.00012598,1054,2226,1688,2671
17,VAIPE_P_0_0.jpg,91,0.00012598,1054,2226,1688,2671
18,VAIPE_P_0_0.jpg,89,2.56e-06,1054,2226,1688,2671
19,VAIPE_P_0_0.jpg,99,2.56e-06,1054,2226,1688,2671
20,VAIPE_P_0_0.jpg,90,2.56e-06,1054,2226,1688,2671
21,VAIPE_P_0_0.jpg,91,2.56e-06,1054,2226,1688,2671
22,VAIPE_P_0_0.jpg,99,2.0100000000000002e-06,1054,2226,1688,2671
23,VAIPE_P_0_0.jpg,90,2.0100000000000002e-06,1054,2226,1688,2671
24,VAIPE_P_0_0.jpg,89,2.0100000000000002e-06,1054,2226,1688,2671
25,VAIPE_P_0_0.jpg,89,1.31e-06,1051,2224,1685,2665
26,VAIPE_P_0_0.jpg,99,1.31e-06,1051,2224,1685,2665
27,VAIPE_P_0_0.jpg,90,1.31e-06,1051,2224,1685,2665
28,VAIPE_P_0_0.jpg,91,1.31e-06,1051,2224,1685,2665
29,VAIPE_P_0_0.jpg,99,1.3e-06,1049,2222,1687,2667
30,VAIPE_P_0_0.jpg,89,1.3e-06,1049,2222,1687,2667
31,VAIPE_P_0_0.jpg,91,1.3e-06,1049,2222,1687,2667
32,VAIPE_P_0_1.jpg,99,0.95459,1119,2627,2129,3354
33,VAIPE_P_0_1.jpg,10,0.94238,455,2352,1255,3587
34,VAIPE_P_0_1.jpg,10,0.93652,951,1703,2209,2314
35,VAIPE_P_0_1.jpg,8,0.91602,1168,2165,1982,2560
36,VAIPE_P_0_1.jpg,10,0.16626,1160,2155,2002,2570
37,VAIPE_P_0_1.jpg,89,0.00933,1110,2621,2136,3364
38,VAIPE_P_0_1.jpg,10,0.00233,2331,2948,3024,3851
39,VAIPE_P_0_1.jpg,82,0.00215,954,1701,2209,2335
40,VAIPE_P_0_1.jpg,90,0.00193,1116,2638,2127,3352
41,VAIPE_P_0_1.jpg,107,0.00189,2066,3373,2281,3570
42,VAIPE_P_0_1.jpg,107,0.0016,955,1713,2209,2316
43,VAIPE_P_0_1.jpg,107,0.00136,955,1713,2209,2316
44,VAIPE_P_0_1.jpg,99,0.00117,2331,2948,3024,3851
45,VAIPE_P_0_1.jpg,107,0.00116,1176,2159,1995,2554
46,VAIPE_P_0_1.jpg,107,0.00113,1178,2159,1995,2554
47,VAIPE_P_0_1.jpg,107,0.00105,941,1701,2222,2318
48,VAIPE_P_0_1.jpg,89,0.0009545900000000001,1119,2627,2129,3354
49,VAIPE_P_0_1.jpg,99,0.0009545900000000001,1119,2627,2129,3354
50,VAIPE_P_0_1.jpg,90,0.0009545900000000001,1119,2627,2129,3354
51,VAIPE_P_0_1.jpg,91,0.0009545900000000001,1119,2627,2129,3354
52,VAIPE_P_0_1.jpg,82,0.00094238,455,2352,1255,3587
53,VAIPE_P_0_1.jpg,82,0.00093652,951,1703,2209,2314
54,VAIPE_P_0_1.jpg,82,0.00016626,1160,2155,2002,2570
55,VAIPE_P_0_1.jpg,99,9.33e-06,1110,2621,2136,3364
56,VAIPE_P_0_1.jpg,90,9.33e-06,1110,2621,2136,3364
57,VAIPE_P_0_1.jpg,91,9.33e-06,1110,2621,2136,3364
58,VAIPE_P_0_1.jpg,82,2.33e-06,2331,2948,3024,3851
59,VAIPE_P_0_1.jpg,10,2.15e-06,954,1701,2209,2335
60,VAIPE_P_0_1.jpg,99,1.93e-06,1116,2638,2127,3352
61,VAIPE_P_0_1.jpg,89,1.93e-06,1116,2638,2127,3352
62,VAIPE_P_0_1.jpg,91,1.93e-06,1116,2638,2127,3352
63,VAIPE_P_0_1.jpg,10,1.6000000000000001e-06,955,1713,2209,2316
64,VAIPE_P_0_1.jpg,82,1.6000000000000001e-06,955,1713,2209,2316
65,VAIPE_P_0_1.jpg,89,1.17e-06,2331,2948,3024,3851
66,VAIPE_P_0_1.jpg,99,1.17e-06,2331,2948,3024,3851
