file_name,label,x,y,w,h
VAIPE_1194_18.json,21.0,421.0,350.0,158.0,300.0
VAIPE_1194_18.json,21.0,1050.0,1421.0,300.0,158.0
VAIPE_1194_18.json,21.0,1650.0,2421.0,300.0,158.0
VAIPE_1194_18.json,21.0,2371.0,3050.0,158.0,300.0
VAIPE_1194_19.json,21.0,350.0,421.0,300.0,158.0
VAIPE_1194_19.json,21.0,2300.0,3121.0,300.0,158.0
VAIPE_1194_2.json,21.0,350.0,421.0,300.0,158.0
VAIPE_1194_2.json,21.0,1050.0,1421.0,300.0,158.0
VAIPE_1194_2.json,21.0,1721.0,2350.0,158.0,300.0
VAIPE_1194_2.json,21.0,2300.0,3121.0,300.0,158.0
VAIPE_1194_3.json,21.0,350.0,421.0,300.0,158.0
VAIPE_1194_3.json,21.0,1721.0,2350.0,158.0,300.0
VAIPE_1194_4.json,21.0,421.0,350.0,158.0,300.0
VAIPE_1194_4.json,21.0,1050.0,1421.0,300.0,158.0
VAIPE_1194_4.json,21.0,1721.0,2350.0,158.0,300.0
VAIPE_1194_5.json,21.0,421.0,350.0,158.0,300.0
VAIPE_1194_5.json,21.0,1121.0,1350.0,158.0,300.0
VAIPE_1194_5.json,21.0,1650.0,2421.0,300.0,158.0
VAIPE_1194_6.json,21.0,350.0,421.0,300.0,158.0
VAIPE_1194_6.json,21.0,1121.0,1350.0,158.0,300.0
VAIPE_1194_6.json,21.0,1650.0,2421.0,300.0,158.0
VAIPE_1194_6.json,21.0,2300.0,3121.0,300.0,158.0
VAIPE_1194_8.json,21.0,350.0,421.0,300.0,158.0
VAIPE_1194_8.json,21.0,1721.0,2350.0,158.0,300.0
VAIPE_1194_7.json,21.0,421.0,350.0,158.0,300.0
VAIPE_1194_7.json,21.0,1121.0,1350.0,158.0,300.0
VAIPE_1194_7.json,21.0,1721.0,2350.0,158.0,300.0
VAIPE_1194_7.json,21.0,2300.0,3121.0,300.0,158.0
VAIPE_1194_9.json,21.0,421.0,350.0,158.0,300.0
VAIPE_1194_9.json,21.0,1121.0,1350.0,158.0,300.0
VAIPE_1194_9.json,21.0,1721.0,2350.0,158.0,300.0
VAIPE_1194_9.json,21.0,2371.0,3050.0,158.0,300.0
VAIPE_1195_0.json,22.0,350.0,350.0,300.0,300.0
VAIPE_1195_0.json,22.0,1050.0,1350.0,300.0,300.0
VAIPE_1195_0.json,22.0,1650.0,2350.0,300.0,300.0
VAIPE_1195_0.json,22.0,2300.0,3050.0,300.0,300.0
VAIPE_1195_1.json,22.0,350.0,350.0,300.0,300.0
VAIPE_1195_1.json,22.0,1050.0,1350.0,300.0,300.0
VAIPE_1195_1.json,22.0,2300.0,3050.0,300.0,300.0
VAIPE_1195_10.json,22.0,350.0,350.0,300.0,300.0
VAIPE_1195_10.json,22.0,1050.0,1350.0,300.0,300.0
VAIPE_1195_12.json,22.0,350.0,350.0,300.0,300.0
VAIPE_1195_12.json,22.0,1050.0,1350.0,300.0,300.0
VAIPE_1195_12.json,22.0,1650.0,2350.0,300.0,300.0
VAIPE_1195_12.json,22.0,2300.0,3050.0,300.0,300.0
VAIPE_1195_11.json,22.0,350.0,350.0,300.0,300.0
VAIPE_1195_11.json,22.0,1050.0,1350.0,300.0,300.0
VAIPE_1195_11.json,22.0,1650.0,2350.0,300.0,300.0
VAIPE_1195_11.json,22.0,2300.0,3050.0,300.0,300.0
VAIPE_1195_13.json,22.0,350.0,350.0,300.0,300.0
VAIPE_1195_13.json,22.0,1050.0,1350.0,300.0,300.0
VAIPE_1195_13.json,22.0,1650.0,2350.0,300.0,300.0
VAIPE_1195_14.json,22.0,350.0,350.0,300.0,300.0
VAIPE_1195_14.json,22.0,1050.0,1350.0,300.0,300.0
VAIPE_1195_14.json,22.0,1650.0,2350.0,300.0,300.0
VAIPE_1195_15.json,22.0,350.0,350.0,300.0,300.0
VAIPE_1195_15.json,22.0,1050.0,1350.0,300.0,300.0
VAIPE_1195_15.json,22.0,2300.0,3050.0,300.0,300.0
VAIPE_1195_16.json,22.0,350.0,350.0,300.0,300.0
VAIPE_1195_16.json,22.0,1050.0,1350.0,300.0,300.0
VAIPE_1195_16.json,22.0,1650.0,2350.0,300.0,300.0
VAIPE_1195_17.json,22.0,350.0,350.0,300.0,300.0
VAIPE_1195_17.json,22.0,1050.0,1350.0,300.0,300.0
VAIPE_1195_17.json,22.0,1650.0,2350.0,300.0,300.0
VAIPE_1195_17.json,22.0,2300.0,3050.0,300.0,300.0
VAIPE_1195_18.json,22.0,350.0,350.0,300.0,300.0
VAIPE_1195_18.json,22.0,1650.0,2350.0,300.0,300.0
VAIPE_1195_19.json,22.0,350.0,350.0,300.0,300.0
VAIPE_1195_2.json,22.0,350.0,350.0,300.0,300.0
VAIPE_1195_2.json,22.0,2300.0,3050.0,300.0,300.0
VAIPE_1195_3.json,22.0,350.0,350.0,300.0,300.0
VAIPE_1195_3.json,22.0,1050.0,1350.0,300.0,300.0
VAIPE_1195_3.json,22.0,1650.0,2350.0,300.0,300.0
VAIPE_1195_3.json,22.0,2300.0,3050.0,300.0,300.0
VAIPE_1195_4.json,22.0,350.0,350.0,300.0,300.0
VAIPE_1195_4.json,22.0,1050.0,1350.0,300.0,300.0
VAIPE_1195_4.json,22.0,2300.0,3050.0,300.0,300.0
VAIPE_1195_5.json,22.0,350.0,350.0,300.0,300.0
VAIPE_1195_5.json,22.0,1050.0,1350.0,300.0,300.0
VAIPE_1195_5.json,22.0,1650.0,2350.0,300.0,300.0
VAIPE_1195_5.json,22.0,2300.0,3050.0,300.0,300.0
VAIPE_1195_6.json,22.0,350.0,350.0,300.0,300.0
VAIPE_1195_6.json,22.0,1050.0,1350.0,300.0,300.0
VAIPE_1195_6.json,22.0,1650.0,2350.0,300.0,300.0
VAIPE_1195_8.json,22.0,350.0,350.0,300.0,300.0
VAIPE_1195_8.json,22.0,1050.0,1350.0,300.0,300.0
VAIPE_1195_8.json,22.0,2300.0,3050.0,300.0,300.0
VAIPE_1195_7.json,22.0,350.0,350.0,300.0,300.0
VAIPE_1195_7.json,22.0,1650.0,2350.0,300.0,300.0
VAIPE_1195_7.json,22.0,2300.0,3050.0,300.0,300.0
VAIPE_1195_9.json,22.0,350.0,350.0,300.0,300.0
VAIPE_1195_9.json,22.0,1050.0,1350.0,300.0,300.0
VAIPE_1198_0.json,25.0,434.0,350.0,132.0,300.0
VAIPE_1198_0.json,25.0,1134.0,1350.0,132.0,300.0
VAIPE_1198_0.json,25.0,1734.0,2350.0,132.0,300.0
VAIPE_1198_0.json,25.0,2384.0,3050.0,132.0,300.0
VAIPE_1198_1.json,25.0,350.0,434.0,300.0,132.0
VAIPE_1198_1.json,25.0,1134.0,1350.0,132.0,300.0
VAIPE_1198_1.json,25.0,2384.0,3050.0,132.0,300.0
VAIPE_1198_10.json,25.0,350.0,434.0,300.0,132.0
VAIPE_1198_10.json,25.0,1134.0,1350.0,132.0,300.0
VAIPE_1198_10.json,25.0,1650.0,2434.0,300.0,132.0
VAIPE_1198_10.json,25.0,2384.0,3050.0,132.0,300.0
VAIPE_1198_11.json,25.0,434.0,350.0,132.0,300.0
VAIPE_1198_11.json,25.0,2300.0,3134.0,300.0,132.0
VAIPE_1198_12.json,25.0,434.0,350.0,132.0,300.0
VAIPE_1198_12.json,25.0,1050.0,1434.0,300.0,132.0
VAIPE_1198_12.json,25.0,2384.0,3050.0,132.0,300.0
VAIPE_1198_13.json,25.0,350.0,434.0,300.0,132.0
VAIPE_1198_13.json,25.0,1050.0,1434.0,300.0,132.0
VAIPE_1198_13.json,25.0,1650.0,2434.0,300.0,132.0
VAIPE_1198_14.json,25.0,434.0,350.0,132.0,300.0
VAIPE_1198_14.json,25.0,1650.0,2434.0,300.0,132.0
VAIPE_1198_15.json,25.0,350.0,434.0,300.0,132.0
VAIPE_1198_15.json,25.0,1050.0,1434.0,300.0,132.0
VAIPE_1198_15.json,25.0,1734.0,2350.0,132.0,300.0
VAIPE_1198_15.json,25.0,2384.0,3050.0,132.0,300.0
VAIPE_1198_16.json,25.0,350.0,434.0,300.0,132.0
VAIPE_1198_16.json,25.0,1050.0,1434.0,300.0,132.0
VAIPE_1198_17.json,25.0,350.0,434.0,300.0,132.0
VAIPE_1198_17.json,25.0,1050.0,1434.0,300.0,132.0
VAIPE_1198_17.json,25.0,1734.0,2350.0,132.0,300.0
VAIPE_1198_18.json,25.0,350.0,434.0,300.0,132.0
VAIPE_1198_18.json,25.0,1134.0,1350.0,132.0,300.0
VAIPE_1198_18.json,25.0,1650.0,2434.0,300.0,132.0
